Site;PlotID;Treatment; Agrostis capillaris;Anthoxanthum odoratum;Avenella flexuosa;Carex leporina;Carex vaginata;Deschampsia cespitosa;Festuca ovina;Festuca rubra;Luzula multiflora;Phleum alpinum;Poa pratensis;Achillea millefolium;Alchemilla sp.;Bistorta vivipara;Campanula rotundifolia;Potentilla erecta;Ranunculus acris;Trifolium repens;Trifolium prantense;Veronica chamaedrys;Veronica officinale;Viola palustris;Viola riviana;Taraxacum sp.;Rumex acetosa;Filipendula ulmaria;Viola sp.?;Ranunculus repens;Stellaria gramminea;Rubus idaeus;Hypericm maculatum;Knautia arvensis;Myrtilus vitis-idea;Carex pirulifera;Potentilla crantzi;Veronica alpina;Galium uliginosum;Pimpinella saxifraga;Rubus  idaeus;Euphrasia sp.;Vac. Vitis-idea;Poa sp.;Festuca vivipara;Carex sp. ;Carex capillaris;Carex bigelowii;Empetrum nigrum;Trientalis europea;Cerastium sp.;Nardus stricta;Leontodon autumnalis;Carex novergica;Carex small bigelowii;Carex yellow;Poa alpina;Thalicrum alpinum;Parnasia palustris;Vac. Uliginosum;T. cespitosum;S. aizoides;C. nigra;Salix herbaceae;Salix reticulata;Saxifraga oppositifolia;Solidago virgaurea;Dryas  octopetala;Tofielda pusilla;Antenaria dioica;Pinguicula vulgaris;E. hirsutum;Poa annua;Sausurea alpina;Parnasia pallustris
Vikesland;V1CP;Control;30;15;0;0;0;0;5;0;0;1;32;2;0;0;0;0;7;3;0;0;0;0;0;1;10;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vikesland;V2CP;Control;25;16;0;0;0;0;0;0;0;0;45;3;0;0;1;0;3;8;0;0;0;0;0;1;6;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vikesland;V3CP;Control;40;8;0;0;0;9;2;0;0;0;20;4;0;0;0;0;12;10;0;0;0;0;0;0;14;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vikesland;V1Cage3;Cage;0;60;0;0;0;40;0;0;1;0;1;7;4;0;4;2;3;4;0;0;1;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vikesland;V2Cage3;Cage;0;1;0;0;0;90;0;0;0;0;4;2;0;0;0;0;2;10;0;2;0;0;0;1;6;0;0;0;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vikesland;V3Cage3;Cage;0;2;0;0;0;90;0;0;0;2;6;1;0;0;0;0;0;3;0;0;0;0;0;0;8;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vikesland;V1C3;Control;0;40;0;0;0;30;0;0;1;0;1;8;6;0;3;3;3;3;0;0;0;0;0;0;3;0;0;0;1;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vikesland;V2C3;Control;0;15;0;0;0;60;0;0;0;0;3;5;0;0;0;0;0;20;0;5;0;0;0;4;3;0;0;0;4;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vikesland;V3C3;Control;0;1;0;0;0;80;0;0;0;5;10;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hogsete;H1Cage;Cage;0;2;25;0;0;0;0;0;1;0;0;0;5;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hogsete;H2Cage;Cage;5;15;20;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hogsete;H3Cage;Cage;0;3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;8;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hogsete;H1C;Control;0;5;20;0;0;0;0;0;0;0;0;0;4;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hogsete;H2C;Control;4;0;50;0;0;0;0;0;0;0;0;0;5;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
